Newsletter,Website,Status
Sean Goedecke,seangoedecke.com,Confirmed
The Drip Feed,thedripfeed.coffee,Confirmed
Irrational Exuberance (Will Larson),lethain.com/newsletter,Confirmed
Simon Willison's Newsletter,simonw.substack.com,Confirmed
Workspaces (Ryan),workspaces.xyz,Confirmed
Tim Ferriss,tim.blog,Confirmed
High Performance Journal,,Confirmed
The Pour Over,thepourover.org,Confirmed
The Pragmatic Engineer (Gergely Orosz),newsletter.pragmaticengineer.com,Confirmed
California Current,californiacurrent.org,Confirmed
SAVEUR,saveur.com,Unverified - no confirmation email seen
Claude Code Developer Newsletter,claude.com/newsletter/developers,Unverified - no confirmation email seen
Dan Go,dango.co/blog,Confirmed
Cal Newport,calnewport.com,Confirmed
